仓库名称,仓库编码
药业内购供货仓,G-ZH-1000
食代说特价供货仓,G-ZH-7004
珠海佰腾供货仓,G-ZH-7031
股份-药监局抽检供货仓,CJ0002
天津-广州麦优供货仓,G-012801.CP007
天津-佰嘉供货仓,G-TJ-BJ003
嘉兴-药业线上供货仓,G-TC-YYXS011
北京-药业线上供货仓,G-TJ-YYXS011
嘉兴-LS电商大贸供货仓,G-JX-5964
嘉兴-广州麦优供货仓,G-012801.CP039
嘉兴-佰嘉供货仓,G-JX-BJ126
嘉兴-佰悦供货仓,G-JX-BY190
嘉兴-佰腾供货仓,G-JX-BT103
股份嘉兴分货供货仓,G-JX-3.2.671
嘉兴-药业线下供货仓,G-JX-YY135
嘉兴-食代说供货仓,G-JX-SDS122
珠海-LS电商大贸供货仓,G-ZH-BY125
成都-LS电商大贸供货仓,G-CD-BY128
昆山-LS电商大贸供货仓,G-KS-BY132
广州-LS电商大贸供货仓,G-GZ-BY136
武汉-LS电商大贸供货仓,G-WH-BY140
北京-LS电商大贸供货仓,G-BJ-BY144
北京中转-药业供货仓,G-BJZH-YY128
北京中转- 食代说供货仓,G-BJZH-SDS118
北京中转-佰嘉供货仓,G-BJZH-BJ113 
珠海特渠-药业线下供货仓,G-ZH-YY124
珠海特渠-佰嘉线下供货仓,G-ZH-BJ109
麦优供货仓,MY-GH-001
昆山-二十八辰供货仓,G-TC-ESBC002
武汉中转-佰嘉供货仓,G-WHZZ-BJ003
华南-二十八辰供货仓,G-FS-ESBC002
成都-二十八辰供货仓,G-CD-ESBC002
昆山中转-佰嘉供货仓,G-KSZZ-BJ003
珠海-广州佰健供货仓,G-ZH-3.1.322
武汉-药业线上供货仓,G-HZ-YYXS
昆山-广州佰健供货仓,G-KS-YS012
昆山中转-食代说供货仓,G-KSZH-SDSl009
珠海-二十八辰供货仓,G-ZH-ESBC002
武汉中转-食代说供货仓,G-WHZZ-SDSl009
成都-广州佰健供货仓,G-CD-YS008
珠海-药业官方商城供货仓,G-ZH-YYGS010
昆山-珠海麦优供货仓,G-012806.CP001
成都-珠海麦优供货仓,G-012806.CP003
珠海-珠海麦优供货仓,G-012806.CP009
华南-广州麦优供货仓,G-012801.CP005
昆山-广州麦优供货仓,G-012801.CP001
成都-广州麦优供货仓,G-012801.CP003
成都-药业线上供货仓,G-CD-YYXS011
华南-珠海麦优供货仓,G-012806.CP005
索赔供货仓,SP001
珠海-好健时供货仓,G-ZH-HSJ007
珠海-佰悦供货仓,G-ZH-BY006
昆山-佰傲供货仓,G-TC-BA001
成都-佰悦供货仓,G-CD-BY006
珠海-佰腾供货仓,G-ZH-BT004
珠海-佰嘉供货仓,G-ZH-BJ003
武汉-药业供货仓,G-HZ-YY069
武汉-食代说供货仓,G-HZ-SDS060
珠海-佰傲供货仓,G-ZH-BA001
武汉-佰嘉供货仓,G-HZ-BJ060
昆山-佰悦供货仓,G-TC-BY006
北京-广州麦优供货仓,G-012801.CP032
北京-珠海麦优供货仓,G-012806.CP032
股份北京分货供货仓,G-BJ-3.2.622
北京-佰嘉供货仓,G-BJ-BJ105
北京-佰腾供货仓,G-BJ-BT69
北京-佰悦供货仓,G-BJ-BY109
北京-药业线下供货仓,G-BJ-YY121
北京-食代说供货仓,G-BJ-SDS109
佰腾药业珠海-线下供货子仓,G-ZH-BTYY001
华南-佰腾供货仓,G-FS-BT004
昆山-好健时供货仓,G-TC-HSJ007
华南-佰嘉供货仓,G-FS-BJ003
珠海-广州麦优供货仓,G-012801.CP009
西安-药业线下供货仓,G-XA-YY064
华南-佰傲供货仓,G-FS-BA001
西安-佰嘉供货仓,G-XA-BJ056
西安-佰傲供货仓,G-XA-BA0032
佰腾珠海线上供货子仓,G-ZH-BT004-XS
成都-药业线下供货仓,G-CD-YY008
广州-佰悦供货仓,G-GZ-BY060
武汉-广州麦优供货仓,G-HZ-GZMY
武汉-珠海麦优供货仓,G-HZ-ZHMY
武汉-佰腾供货仓,G-HZ-BT54
武汉-佰悦供货仓,G-HZ-BY094
华南-药业官方商城供货仓,G-FS-YYGS010
成都-药业官方商城供货仓,G-CD-YYGS010
昆山-药业官方商城供货仓,G-TC-YYGS010
