商品长编码,商品名称,批次,仓库类型,仓库编码,仓库名称,库存组织,即时库存,可用库存,预占库存,锁定库存,待收数,生产日期,到期日期,销售预占,创建时间,更新时间,更新人
A.A.06.01.AA060108W,汤臣倍健健力多钙维生素D片电商专供品（60片）,20250404D,逻辑仓,3.2.654,股份RDC佰悦华南顺丰共享仓,汤臣倍健股份有限公司,7007,7007,0,0,0,,,0,,,
A.A.001.AA0010059,汤臣倍健她多维多种维生素矿物质片（160片）,20250402D,逻辑仓,3.1.311,产成品（珠海）合格仓,汤臣倍健股份有限公司,5103,5103,0,0,0,,,0,,,
A.A.01.07.AA010733L,汤臣倍健褪黑素片升级版（60片）,20250407D,逻辑仓,YY029,药业产成品（成都）合格仓,汤臣倍健药业有限公司,46308,46308,0,0,0,,,0,,,
A.A.01.01.AA010179AD,汤臣倍健维生素C片（甜橙味）优惠装升级版（100片×2）,20250406D,逻辑仓,YY029,药业产成品（成都）合格仓,汤臣倍健药业有限公司,9912,9912,0,0,0,,,0,,,
A.A.01.01.AA010164Q,汤臣倍健多维女士多种维生素矿物质片彩盒装升级版（60片）,20250408D,逻辑仓,YY029,药业产成品（成都）合格仓,汤臣倍健药业有限公司,3888,3888,0,0,0,,,0,,,
A.A.006.AA0060002A,健力多氨糖硫酸软骨素钙片彩盒装（150片）,20250407D,逻辑仓,BJ035,佰嘉产成品（成都）合格仓,广东佰嘉药业有限公司,2400,2400,0,0,0,,,0,,,
A.A.01.01.AA010179AD,汤臣倍健维生素C片（甜橙味）优惠装升级版（100片×2）,20250409D,逻辑仓,YY032,药业产成品（昆山）合格仓,汤臣倍健药业有限公司,4480,4480,0,0,0,,,0,,,
A.A.01.01.AA010164Q,汤臣倍健多维女士多种维生素矿物质片彩盒装升级版（60片）,20250408D,逻辑仓,YY032,药业产成品（昆山）合格仓,汤臣倍健药业有限公司,3888,3888,0,0,0,,,0,,,
A.A.006.AA0060002A,健力多氨糖硫酸软骨素钙片彩盒装（150片）,20250408D,逻辑仓,BJ038,佰嘉产成品（昆山）合格仓,广东佰嘉药业有限公司,6000,6000,0,0,0,,,0,,,
A.A.01.02.AA010220BD,汤臣倍健钙维生素D维生素K软胶囊升级版（200粒×2）促销装,20250440G,逻辑仓,SDS002,珠海食代说成品合格仓,珠海食代说食品有限公司,4008,4008,0,0,0,,,0,,,
A.A.01.02.AA010220BD,汤臣倍健钙维生素D维生素K软胶囊升级版（200粒×2）促销装,20250441G,逻辑仓,SDS002,珠海食代说成品合格仓,珠海食代说食品有限公司,4024,4024,0,0,0,,,0,,,
A.A.01.02.AA010220BD,汤臣倍健钙维生素D维生素K软胶囊升级版（200粒×2）促销装,20250428G,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,7972,7972,0,0,0,,,0,,,
A.A.01.02.AA010220BD,汤臣倍健钙维生素D维生素K软胶囊升级版（200粒×2）促销装,20250426G,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,8010,8010,0,0,0,,,0,,,
A.A.01.02.AA010220BD,汤臣倍健钙维生素D维生素K软胶囊升级版（200粒×2）促销装,20250440G,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,4057,4057,0,0,0,,,0,,,
A.A.01.01.AA010179AD,汤臣倍健维生素C片（甜橙味）优惠装升级版（100片×2）,20250407D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,9946,9946,0,0,0,,,0,,,
A.A.01.01.AA010179AD,汤臣倍健维生素C片（甜橙味）优惠装升级版（100片×2）,20250409D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,5424,5424,0,0,0,,,0,,,
A.A.01.01.AA010179AD,汤臣倍健维生素C片（甜橙味）优惠装升级版（100片×2）,20250408D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,9945,9945,0,0,0,,,0,,,
A.A.01.01.AA010166Q,汤臣倍健多维男士多种维生素矿物质片优惠装升级版（60片×2）,20250404D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,555,555,0,0,0,,,0,,,
A.A.01.01.AA010166Q,汤臣倍健多维男士多种维生素矿物质片优惠装升级版（60片×2）,20250405D,逻辑仓,012801.CP009,广州麦优产成品（珠海）合格仓,广州麦优网络科技有限公司,9995,9995,0,0,0,,,0,,,
A.A.01.01.AA010166Q,汤臣倍健多维男士多种维生素矿物质片优惠装升级版（60片×2）,20250404D,逻辑仓,012801.CP009,广州麦优产成品（珠海）合格仓,广州麦优网络科技有限公司,9276,9276,0,0,0,,,0,,,
A.A.01.01.AA010164S,汤臣倍健多维女士多种维生素矿物质片优惠装升级版（60片×2）,20250401D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,9951,9951,0,0,0,,,0,,,
A.A.01.01.AA010164S,汤臣倍健多维女士多种维生素矿物质片优惠装升级版（60片×2）,20250402D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,9942,9942,0,0,0,,,0,,,
A.A.01.01.AA010164S,汤臣倍健多维女士多种维生素矿物质片优惠装升级版（60片×2）,20250404D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,9924,9924,0,0,0,,,0,,,
A.A.01.01.AA010164S,汤臣倍健多维女士多种维生素矿物质片优惠装升级版（60片×2）,20250403D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,9976,9976,0,0,0,,,0,,,
A.A.01.01.AA010164Q,汤臣倍健多维女士多种维生素矿物质片彩盒装升级版（60片）,20250408D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,8138,8138,0,0,0,,,0,,,
A.A.01.01.AA010164S,汤臣倍健多维女士多种维生素矿物质片优惠装升级版（60片×2）,20250406D,逻辑仓,012801.CP009,广州麦优产成品（珠海）合格仓,广州麦优网络科技有限公司,9977,9977,0,0,0,,,0,,,
A.A.01.01.AA010164S,汤臣倍健多维女士多种维生素矿物质片优惠装升级版（60片×2）,20250405D,逻辑仓,012801.CP009,广州麦优产成品（珠海）合格仓,广州麦优网络科技有限公司,9959,9959,0,0,0,,,0,,,
A.A.01.01.AA010164S,汤臣倍健多维女士多种维生素矿物质片优惠装升级版（60片×2）,20250404D,逻辑仓,012801.CP009,广州麦优产成品（珠海）合格仓,广州麦优网络科技有限公司,64,64,0,0,0,,,0,,,
A.A.01.01.AA010164Q,汤臣倍健多维女士多种维生素矿物质片彩盒装升级版（60片）,20250407D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,19904,19904,0,0,0,,,0,,,
A.A.01.01.AA010164Q,汤臣倍健多维女士多种维生素矿物质片彩盒装升级版（60片）,20250408D,逻辑仓,YY121,药业产成品（北京）合格仓,汤臣倍健药业有限公司,3888,3888,0,0,0,,,0,,,
A.A.01.07.AA010733L,汤臣倍健褪黑素片升级版（60片）,20250409D,逻辑仓,YY121,药业产成品（北京）合格仓,汤臣倍健药业有限公司,16320,16320,0,0,0,,,0,,,
A.A.01.03.AA010306AF,汤臣倍健鱼油软胶囊 (40粒*3) 送维C(甜橙味)(30片×2)礼盒装升级版,20250401C,逻辑仓,SDS002,珠海食代说成品合格仓,珠海食代说食品有限公司,8055,8055,0,0,0,,,0,,,
A.A.01.07.AA010733L,汤臣倍健褪黑素片升级版（60片）,20250408D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,46413,46413,0,0,0,,,0,,,
A.A.01.07.AA010733L,汤臣倍健褪黑素片升级版（60片）,20250406D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,46244,46244,0,0,0,,,0,,,
A.A.01.07.AA010733L,汤臣倍健褪黑素片升级版（60片）,20250409D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,30087,30087,0,0,0,,,0,,,
A.A.01.07.AA010733L,汤臣倍健褪黑素片升级版（60片）,20250404D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,46002,46002,0,0,0,,,0,,,
A.A.01.07.AA010733L,汤臣倍健褪黑素片升级版（60片）,20250405D,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,46176,46176,0,0,0,,,0,,,
A.A.023.AA0230002B,Life-Space益生菌固体饮料（600亿，AA）商超专供（20袋）,20250403P,逻辑仓,SDS002,珠海食代说成品合格仓,珠海食代说食品有限公司,11856,11856,0,0,0,,,0,,,
A.A.023.AA0230016,Life-Space益倍适畅护益生菌固体饮料（100亿，A）（10袋）,20250417P,逻辑仓,BJ001,佰嘉珠海合格仓,广东佰嘉药业有限公司,15456,15456,0,0,0,,,0,,,
A.A.023.AA0230016,Life-Space益倍适畅护益生菌固体饮料（100亿，A）（10袋）,20250416P,逻辑仓,BJ001,佰嘉珠海合格仓,广东佰嘉药业有限公司,15408,15408,0,0,0,,,0,,,
A.A.06.01.AA060102N,汤臣倍健健力多氨糖软骨素钙片100片彩盒装,20250423D,逻辑仓,BY045,佰悦电商珠海合格仓,广东佰悦网络科技有限公司,15025,15025,0,0,0,,,0,,,
A.A.06.01.AA060102N,汤臣倍健健力多氨糖软骨素钙片100片彩盒装,20250421D,逻辑仓,BY045,佰悦电商珠海合格仓,广东佰悦网络科技有限公司,11155,11155,0,0,0,,,0,,,
A.A.06.01.AA060102N,汤臣倍健健力多氨糖软骨素钙片100片彩盒装,20250422D,逻辑仓,BY045,佰悦电商珠海合格仓,广东佰悦网络科技有限公司,15066,15066,0,0,0,,,0,,,
A.A.030.AA0300002A,健安适水飞蓟葛根丹参片（120片）,20250401D,逻辑仓,012801.CP009,广州麦优产成品（珠海）合格仓,广州麦优网络科技有限公司,2637,2637,0,0,0,,,0,,,
A.A.06.01.AA060102AK,汤臣倍健健力多氨糖软骨素钙片40片*6京东礼盒装,20250406D,逻辑仓,BY045,佰悦电商珠海合格仓,广东佰悦网络科技有限公司,1882,1882,0,0,0,,,0,,,
A.A.058.AA0580012,Yep胶原蛋白肽玫瑰花透明质酸钠口服液（7瓶装),20250406K,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,4164,4164,0,0,0,,,0,,,
A.A.06.01.AA060121A,健力多Ca-mini钙维生素D片电商装（60片）,20250404D,逻辑仓,BY045,佰悦电商珠海合格仓,广东佰悦网络科技有限公司,35232,35232,0,0,0,,,0,,,
A.A.06.01.AA060121A,健力多Ca-mini钙维生素D片电商装（60片）,20250405D,逻辑仓,BY045,佰悦电商珠海合格仓,广东佰悦网络科技有限公司,35325,35325,0,0,0,,,0,,,
A.A.06.01.AA060121A,健力多Ca-mini钙维生素D片电商装（60片）,20250406D,逻辑仓,BY045,佰悦电商珠海合格仓,广东佰悦网络科技有限公司,35123,35123,0,0,0,,,0,,,
A.A.006.AA0060002A,健力多氨糖硫酸软骨素钙片彩盒装（150片）,20250407D,逻辑仓,BJ001,佰嘉珠海合格仓,广东佰嘉药业有限公司,6599,6599,0,0,0,,,0,,,
A.A.006.AA0060002A,健力多氨糖硫酸软骨素钙片彩盒装（150片）,20250408D,逻辑仓,BJ001,佰嘉珠海合格仓,广东佰嘉药业有限公司,3032,3032,0,0,0,,,0,,,
A.A.006.AA0060002A,健力多氨糖硫酸软骨素钙片彩盒装（150片）,20250406D,逻辑仓,BJ001,佰嘉珠海合格仓,广东佰嘉药业有限公司,8986,8986,0,0,0,,,0,,,
A.A.001.AA0010054A,汤臣倍健钙维生素E蛋白粉（520g）,20250405A,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,22014,22014,0,0,0,,,0,,,
A.A.001.AA0010054A,汤臣倍健钙维生素E蛋白粉（520g）,20250406A,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,22020,22020,0,0,0,,,0,,,
A.A.01.01.AA010157J,汤臣倍健植物蛋白粉固体饮料（600g/高盖）,20250404F,逻辑仓,012801.CP009,广州麦优产成品（珠海）合格仓,广州麦优网络科技有限公司,18047,18047,0,0,0,,,0,,,
A.A.13.01.AA130138A,天然博士乳铁蛋白调制乳粉罐装（30袋）,20250401A,逻辑仓,BT01,佰腾珠海合格仓 ,广东佰腾药业有限公司,4200,4200,0,0,0,,,0,,,
A.A.006.AA0060002,健力多氨糖硫酸软骨素钙片彩盒装（210片）,20250412D,逻辑仓,BJ001,佰嘉珠海合格仓,广东佰嘉药业有限公司,4270,4270,0,0,0,,,0,,,
A.A.001.AA0010041B,汤臣倍健白金蛋白粉（单袋盒装）,20250401V,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,126900,126900,0,0,0,,,0,,,
A.A.058.AA0580012,Yep胶原蛋白肽玫瑰花透明质酸钠口服液（7瓶装),20250412K,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,3438,3438,0,0,0,,,0,,,
A.A.058.AA0580012A,Yep胶原蛋白肽玫瑰花透明质酸钠口服液（单瓶试用装）,20250412K,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,5040,5040,0,0,0,,,0,,,
A.A.01.07.AA010733L,汤臣倍健褪黑素片升级版（60片）,20250303D,逻辑仓,SDS023,食代说珠海待处理仓,珠海食代说食品有限公司,30,30,0,0,0,,,0,,,
A.A.01.04.AA010426F,汤臣倍健铁叶酸片升级版（60片）,20250102D,逻辑仓,SDS023,食代说珠海待处理仓,珠海食代说食品有限公司,75,75,0,0,0,,,0,,,
A.A.13.01.AA130122G,天然博士益生菌固体饮料(5袋)电商专供盒装,20250401P,在途仓,3.2.621,股份北京RDC待检在途仓,汤臣倍健股份有限公司,3840,3840,0,0,0,,,0,,,
A.A.13.01.AA130122G,天然博士益生菌固体饮料(5袋)电商专供盒装,20250401P,逻辑仓,3.2.638,股份产成品（珠海京东）待检仓,汤臣倍健股份有限公司,3840,3840,0,0,0,,,0,,,
A.A.018.AA0180001B,天然博士DHA藻油凝胶糖果儿童型（20粒×3）礼盒装,20250405G,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,540,540,0,0,0,,,0,,,
A.A.001.AA0010061,汤臣倍健维多妍多种维生素矿物质片（160片）,20250401D,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,3105,3105,0,0,0,,,0,,,
A.A.01.01.AA010164S,汤臣倍健多维女士多种维生素矿物质片优惠装升级版（60片×2）,20250406D,逻辑仓,3.1.311,产成品（珠海）合格仓,汤臣倍健股份有限公司,2,2,0,0,0,,,0,,,
A.A.023.AA0230006A,Life-Space益生菌固体饮料（400亿，A）（20袋）,20250103P,逻辑仓,3.1.315,产成品（珠海）待处理仓,汤臣倍健股份有限公司,11328,11328,0,0,0,,,0,,,
A.A.06.01.AA060101AN,健力多氨糖软骨素钙片电商专供装80片x4礼盒装,20250414D,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,1848,1848,0,0,0,,,0,,,
A.A.018.AA0180001B,天然博士DHA藻油凝胶糖果儿童型（20粒×3）礼盒装,20250404G,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,935,935,0,0,0,,,0,,,
A.A.01.01.AA010166Q,汤臣倍健多维男士多种维生素矿物质片优惠装升级版（60片×2）,20250405D,逻辑仓,3.1.311,产成品（珠海）合格仓,汤臣倍健股份有限公司,1,1,0,0,0,,,0,,,
A.A.06.01.AA060102AK,汤臣倍健健力多氨糖软骨素钙片40片*6京东礼盒装,20250411D,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,1666,1666,0,0,0,,,0,,,
A.A.01.01.AA010175,汤臣倍健多种维生素咀嚼片(11-17岁)-迪士尼漫威装（60片）,20240101,逻辑仓,SDS031,食代说退货仓,珠海食代说食品有限公司,2,2,0,0,0,,,0,,,
A.A.018.AA0180001F,天然博士DHA藻油凝胶糖果儿童型（50粒）盒装,20240603G,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,180,180,0,0,0,,,0,,,
A.A.018.AA0180001F,天然博士DHA藻油凝胶糖果儿童型（50粒）盒装,20250402G,逻辑仓,BT01,佰腾珠海合格仓 ,广东佰腾药业有限公司,222,222,0,0,0,,,0,,,
A.A.018.AA0180001A,天然博士DHA藻油凝胶糖果儿童型（20粒）赠品装,20250407G,逻辑仓,BT01,佰腾珠海合格仓 ,广东佰腾药业有限公司,7068,7068,0,0,0,,,0,,,
A.A.018.AA0180001A,天然博士DHA藻油凝胶糖果儿童型（20粒）赠品装,20250406G,逻辑仓,BT01,佰腾珠海合格仓 ,广东佰腾药业有限公司,5196,5196,0,0,0,,,0,,,
A.A.06.01.AA060121A,健力多Ca-mini钙维生素D片电商装（60片）,20250402D,逻辑仓,3.2.604,股份RDC佰悦珠海京东共享仓（新）,汤臣倍健股份有限公司,15576,15576,0,0,0,,,0,,,
