商品长编码,体积（立方米）(WMS),商品名称,商品类型,商品剂型,规格,单位,装箱数,珠海仓码托数
B.A.04.BA04385,0,Life-Space Probiotic Gut Support Oral Powder,产品,粉剂,1g/袋,袋,1,1
A.A.047.AA0470013,0,Life-Space Pre+Probiotic Quick-Dissolving Powder,产品,粉剂,1g/袋*20袋/盒,盒,1,
D.A.02.DA02615-01,0,Life-Space Probiotic Gut Support Oral Powder-铝箔,产品,其他,,公斤,1,
B.A.04.BA04386,0,Life-Space Pre+Probiotic Quick-Dissolving Powder,产品,粉剂,1g/袋,袋,1,1
D.A.05.DA06023-01,0,Life-Space Probiotic Gut Support Oral Powder-外盒,产品,其他,,个,1,
A.A.047.AA0470012,0,Life-Space Probiotic Gut Support Oral Powder,产品,粉剂,1g/袋*20袋/盒,盒,1,
D.A.05.DA06022-01,0,益倍适益生菌粉（24袋）-彩盒,产品,其他,,个,1,
D.B.03.DB03385-01,0,Life-Space益生菌固体饮料（600亿，AA）（2袋体验装）通用纸箱,产品,其他,,个,1,
A.A.023.AA0230022E,0,益倍适益生菌粉（24袋）,产品,粉剂,1.5g/袋*24袋/盒,盒,1,
F.A.41.FA41250,0,每益乐特殊医学用途全营养配方食品礼盒,产品,其他,,个,1,1
C.02.CA02752,0,复配食品工业用加工助剂,产品,其他,,公斤,1,1
C.01.CA010057,0,胶原蛋白肽,产品,其他,普邦Optima,公斤,1,1
D.B.03.DB03384-01,0,汤臣倍健502#高盖通用成型箱,产品,其他,,个,1,
A.A.018.AA0180011,0,天然博士针叶樱桃接骨木莓维生素C饮（20袋）盒装,产品,口服液,10mL/袋*20袋/盒,盒,1,
A.A.001.AA0010079,0,汤臣倍健维生素D软胶囊（30粒）,产品,软胶囊,250mg/粒*30粒/瓶,瓶,1,
D.A.05.DA06021-01,0,天然博士针叶樱桃接骨木莓维生素C饮（20袋）盒装-彩盒,产品,其他,,个,1,
A.A.027.AA0270021,0,BYHEALTH姜黄植萃功能饮（10袋）,产品,口服液,15g/袋*10袋/盒,盒,1,
A.A.001.AA0010080,0,每日每加B族维生素咀嚼片（柠檬味）60片,产品,片剂,700mg/片*30片/瓶,瓶,1,
F.A.41.FA41236,0,Yep联名礼袋,产品,其他,,个,1,1
D.A.05.DA06015-01,0,BYHEALTH姜黄植萃功能饮（10袋）-外盒,产品,其他,/袋*10袋/盒,个,1,
E.A.001.EA0010080-01,0,每日每加B族维生素咀嚼片（柠檬味）60片—标签,产品,其他,,张,1,
B.A.01.BA01414,0,每日每加B族维生素咀嚼片（柠檬味）,产品,片剂,700mg/片,片,1,1
B.A.04.BA04384,0,汤臣倍健维生素D软胶囊,产品,软胶囊,250mg/粒,粒,1,1
B.A.05.BA05088,0,针叶樱桃接骨木莓维生素C饮（10mL/袋）,产品,口服液,10mL/袋,袋,1,1
E.A.001.EA0010079-01,0,汤臣倍健维生素D软胶囊（30粒）-标签,产品,其他,,张,1,
D.A.02.DA02611-01,0,BYHEALTH姜黄植萃功能饮-铝箔,产品,其他,/袋*10袋/盒,个,1,
D.A.02.DA02614-01,0,天然博士针叶樱桃接骨木莓维生素C饮（10mL/袋）-铝箔,产品,其他,,公斤,1,
F.A.41.FA41237,0,无限能陈列架（胶囊优势）,产品,其他,,个,1,1
F.A.41.FA41238,0,汤臣倍健辅酶Q10 2025年POSM物料,产品,其他,,个,1,1
F.A.41.FA41240,0,哄睡玩偶（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41243,0,可坐挖掘机（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41235,0,Lifespace药线货架插卡（全球第一）,产品,其他,,张,1,1
F.A.41.FA41241,0,儿童赛车积木模型（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41244,0,Herbacin好本清乐享玫瑰礼盒（天然博士标品）,产品,其他,,个,1,1
A.A.047.AA0470004G,0,Life-Space 瘦身塑形B420益生菌 30s 美版（LSP047USA）,产品,粉剂,1000mg/粒*30粒/瓶,瓶,1,
F.A.41.FA41242,0,儿童磁力片（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41239,0,九洲鹿毛毯（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41245,0,欧舒丹手皂套装（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41246,0,lifespace益倍适王一博120亿（20袋）金装产品封套,产品,其他,,个,1,1
F.A.41.FA41226,0,汤臣倍健京东中秋礼盒（小）,产品,其他,,个,1,1
F.A.41.FA41229,0,汤臣倍健通用节庆礼袋（小）,产品,其他,,个,1,1
F.A.41.FA41228,0,汤臣倍健通用节庆礼袋（大）,产品,其他,,个,1,1
F.A.41.FA41227,0,汤臣倍健通用节庆礼盒（大）,产品,其他,,个,1,1
F.A.41.FA41225,0,汤臣倍健京东中秋礼盒（大）,产品,其他,,个,1,1
F.A.41.FA41234,0,茅台酒-15年陈年酒,产品,其他,,瓶,1,1
F.A.41.FA41232,0,茅台酒-香溢五洲,产品,其他,,瓶,1,1
F.A.41.FA41231,0,茅台酒-普通版新飞天53度1L,产品,其他,,瓶,1,1
B.A.01.BA01413,0,Pentavite Nutrigrow Multi Kids Chewables,产品,片剂,1g/片,片,1,1
F.A.41.FA41233,0,茅台酒-精品酒,产品,其他,,瓶,1,1
B.A.06.BA06764,0,汤臣倍健鱼油软胶囊（40粒）-瓶装（无条形码+本品不单独销售）,产品,软胶囊,1000mg/粒*40粒/瓶,瓶,1,1
C.02.CA02750,0,血橙味液体香精(98AF9192),产品,其他,/,公斤,1,1
D.A.02.DA02613-01,0,Nature's Bay 高钙成长精华饮7袋（盒装）-铝箔,产品,其他,,公斤,1,
A.A.023.AA0230020A,0,Life-Space 口香益生菌微泡片（海盐西柚）6片,产品,片剂,0.85g/片*6片/支,支,1,
D.A.05.DA06019-01,0,Pentavite Children's Growth Liquid 自然唯他儿童成长口服液（7 袋）-彩盒,产品,其他,,个,1,
D.A.05.DA06018-01,0,汤臣倍健礼盒-鱼油软胶囊 40粒x3+维C(甜橙味)30片×2-彩盒,产品,其他,,个,1,
E.A.001.EA0010078D-01,0,汤臣倍健鱼油软胶囊（40粒）-标签（无条形码+不单独销售),产品,其他,,张,1,
E.A.001.EA0010078C-01,0,汤臣倍健鱼油软胶囊（100粒）-标签（无条形码+不单独销售),产品,其他,,张,1,
E.A.001.EA0010078A-01,0,汤臣倍健鱼油软胶囊（180粒）-标签,产品,其他,,张,1,
E.A.14.01.EA140101B-06,0,汤臣倍健健视佳越橘叶黄素酯β-胡萝卜素软胶囊（15粒，条形码+不单独销售）标签,产品,其他,120mL瓶瓶签,张,1,
B.A.06.BA06763,0,汤臣倍健鱼油软胶囊（100粒）-瓶装（无条形码+本品不单独销售）,产品,软胶囊,1000mg/粒*100粒/瓶,瓶,1,1
A.A.001.AA0010078B,0,汤臣倍健鱼油软胶囊（200粒）,产品,软胶囊,1000mg /粒*200粒/瓶,瓶,1,
A.A.001.AA0010078,0,汤臣倍健鱼油软胶囊（100粒）,产品,软胶囊,1000mg /粒*100粒/瓶,瓶,1,
E.A.001.EA0010078-01,0,汤臣倍健鱼油软胶囊（100粒）-标签,产品,其他,,张,1,
E.A.024.EA0240038-01,0,Pentavite Nutrigrow Multi Kids Chewables-标签,产品,其他,,张,1,
D.A.02.DA02612-01,0,Pentavite Children's Growth Liquid 自然唯他儿童成长口服液（20ml）-铝箔,产品,其他,,公斤,1,
D.A.05.DA06017-01,0,汤臣倍健礼盒-大豆磷脂软胶囊120粒×2+鱼油软胶囊100粒-彩盒,产品,其他,,个,1,
A.A.001.AA0010078A,0,汤臣倍健鱼油软胶囊（180粒）,产品,软胶囊,1000mg /粒*180粒/瓶,瓶,1,
A.A.001.AA0010078C,0,汤臣倍健礼盒-大豆磷脂软胶囊120粒×2+鱼油软胶囊100粒,产品,软胶囊,（700mg/粒*120粒/瓶*2瓶+1000mg/粒*100粒/瓶*1瓶）/盒,盒,1,
A.A.024.AA0240038,0,Pentavite Nutrigrow Multi Kids Chewables,产品,片剂,1g/片*30片/瓶*1瓶/盒,盒,1,
F.A.41.FA41223,0,儿童钙赠品摸高器,产品,其他,,个,1,1
A.A.018.AA0180009A,0,Nature's Bay 高钙成长精华饮7袋（盒装）,产品,口服液,15ml/袋*7袋/盒,盒,1,
C.02.CA02751,0,紫胡萝卜浓缩汁,产品,其他,/,公斤,1,1
D.A.05.DA06020-01,0,Nature's Bay 高钙成长精华饮7袋（盒装）-纸盒,产品,其他,,个,1,
A.A.024.AA0240039,0,Pentavite Children's Growth Liquid 自然唯他儿童成长口服液（7 袋）,产品,口服液,20ml/袋*7袋/盒,盒,1,
F.A.41.FA41230,0,茅台酒-普通版新飞天53度500ml,产品,其他,,瓶,1,1
E.A.001.EA0010078B-01,0,汤臣倍健鱼油软胶囊（200粒）-标签,产品,其他,,张,1,
A.A.001.AA0010078D,0,汤臣倍健礼盒-鱼油软胶囊 40粒x3+维C(甜橙味)30片×2,产品,软胶囊,（1000mg/粒*40粒/瓶*3瓶+780mg/片*30片/瓶*2瓶）/盒,盒,1,
E.A.023.EA0230020A-01,0,Life-Space 口香益生菌微泡片（海盐西柚）6片-标签,产品,其他,0.85g/片*6片/支,张,1,
D.A.05.DA06016-01,0,Pentavite Nutrigrow Multi Kids Chewables-外盒,产品,其他,,个,1,
E.A.06.01.EA060111L-03,0,健力多氨糖硫酸软骨素加钙片电商装（48片）-标签,产品,其他,155×57mm,张,1,
E.A.06.01.EA060111-06,0,健力多氨糖硫酸软骨素加钙片（120片）标签,产品,片剂,1.2g/片*120片/瓶*1瓶/盒 ,张,1,
