仓库编码,仓库名称,Eas仓库ID,仓库属性,仓库分类,仓库类型,仓库状态,仓库品质,所属物理仓,库存组织,线上/线下,默认退货仓,近效期调入仓,虚拟逻辑仓,是否BC共仓,转合格入库仓,备注,创建人,创建时间,更新时间,更新人,计费组织,计费组织类型,计费组织名称,计费组织id
7032,股份（麦优嘉兴）合格仓,7032,产成品,逻辑仓,TCBJ-B仓,有效,合格,嘉兴仓,汤臣倍健股份有限公司,线下,否,,不开启,否,,,SAP,2025-09-09 17:01:59,2025-09-16 15:23:02,suxp,CN07,,广州麦优网络科技有限公司,1416674966979743746
7031,珠海（珠海佰腾电商）合格仓,7031,产成品,逻辑仓,TCBJ-B仓,有效,合格,珠海仓,佰腾药业（珠海）有限公司,线下,否,,不开启,否,,,SAP,2025-09-09 17:01:59,2025-09-16 17:02:46,,CN12,,佰腾药业（珠海）有限公司,1416674966979743751
7023,马来（PV INT）合格在途,7023,产成品,逻辑仓,TCBJ-C仓,有效,合格,,PENTAVITE INTERNATIONAL COMPANY LIMITED,线下,否,,开启,否,,,SAP,2025-09-08 14:01:59,2025-09-10 16:02:51,,HK02,,PENTAVITE INTERNATIONAL COMPANY LIMITED,1416674966979743771
7022,马来（PV MYS）合格在途,7022,产成品,逻辑仓,TCBJ-C仓,有效,合格,,PENTAVITE MALAYSIA SDN. BHD.,线下,否,,不开启,否,,,SAP,2025-09-08 14:01:59,2025-09-11 10:13:01,lipj,MY01,,PENTAVITE MALAYSIA SDN. BHD.,1318357736553265352
7021,越南（PV VNM）合格在途,7021,产成品,逻辑仓,TCBJ-C仓,有效,合格,,PENTAVITE VIETNAM COMPANY LIMITED,线下,否,,开启,否,,,SAP,2025-09-08 14:01:59,2025-09-10 16:02:52,,VN01,,PENTAVITE VIETNAM COMPANY LIMITED,1416674966979743790
7020,珠海（PV MYS）合格仓,7020,产成品,逻辑仓,TCBJ-B仓,有效,合格,珠海仓,PENTAVITE MALAYSIA SDN. BHD.,线下,否,,不开启,否,,,SAP,2025-09-08 14:01:59,2025-09-11 10:12:39,lipj,MY01,,PENTAVITE MALAYSIA SDN. BHD.,1318357736553265352
7019,珠海（PV VNM）合格仓,7019,产成品,逻辑仓,TCBJ-B仓,有效,合格,珠海仓,PENTAVITE VIETNAM COMPANY LIMITED,线下,否,,不开启,否,,,SAP,2025-09-08 14:01:59,2025-09-10 16:02:51,,VN01,,PENTAVITE VIETNAM COMPANY LIMITED,1416674966979743790
7018,股份珠海（PV总仓）合格仓,7018,产成品,逻辑仓,TCBJ-B仓,有效,合格,珠海仓,汤臣倍健股份有限公司,线下,否,,不开启,否,,,SAP,2025-09-08 14:01:59,2025-09-26 15:02:38,,HK02,,PENTAVITE INTERNATIONAL COMPANY LIMITED,1415929557998108049
7004,食代说产成品(珠海)特价仓,7004,产成品,逻辑仓,TCBJ-B仓,有效,其他,珠海仓,珠海食代说食品有限公司,线下,否,,不开启,否,,,SAP,2025-09-04 09:01:54,2025-09-26 15:02:40,,CN08,,珠海食代说食品有限公司,1415929557998108025
7003,药业产成品(珠海)特价仓,7003,产成品,逻辑仓,TCBJ-B仓,有效,其他,珠海仓,汤臣倍健药业有限公司,线下,否,,不开启,否,,,SAP,2025-09-04 09:01:54,2025-09-26 15:02:40,,CN04,,汤臣倍健药业有限公司,1415929557998108021
7002,产成品(珠海)特价仓,7002,产成品,逻辑仓,TCBJ-B仓,有效,其他,珠海仓,汤臣倍健股份有限公司,线下,否,,不开启,否,,,SAP,2025-09-04 09:01:54,2025-09-26 15:02:39,,CN01,,汤臣倍健股份有限公司,1415929557998108018
6977,食代说（武汉）在途仓,6977,产成品,逻辑仓,TCBJ-C仓,有效,合格,武汉仓,珠海食代说食品有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:02:27,,,,,
6976,食代说（成都）在途仓,6976,产成品,逻辑仓,TCBJ-C仓,有效,合格,南京神行-电商,珠海食代说食品有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:02:24,,,,,
6975,食代说（嘉兴）在途仓,6975,产成品,逻辑仓,TCBJ-C仓,有效,合格,华东菜鸟-电商,珠海食代说食品有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:02:24,,,,,
6974,食代说（北京）在途仓,6974,产成品,逻辑仓,TCBJ-C仓,有效,合格,华北荣庆-电商,珠海食代说食品有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:02:24,,,,,
6973,食代说（珠海）在途仓,6973,产成品,逻辑仓,TCBJ-C仓,有效,合格,华南顺丰-电商,珠海食代说食品有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:37,2025-09-26 15:02:23,,,,,
6972,佰腾电商华中顺丰在途仓,6972,产成品,逻辑仓,TCBJ-C仓,有效,合格,成都仓,广东佰腾药业有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:24,2025-09-26 15:02:10,,,,,
6971,佰腾电商华北荣庆在途仓,6971,产成品,逻辑仓,TCBJ-C仓,有效,合格,华北荣庆-电商,广东佰腾药业有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:24,2025-09-26 15:02:10,,,,,
6970,佰腾电商华南顺丰在途仓,6970,产成品,逻辑仓,TCBJ-C仓,有效,合格,华南顺丰仓,广东佰腾药业有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:24,2025-09-26 15:02:10,,,,,
6969,佰腾电商华南顺丰成品在途仓,6969,产成品,逻辑仓,TCBJ-C仓,有效,合格,华南仓,广东佰腾药业有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:24,2025-09-26 15:02:10,,,,,
6968,佰悦电商华南顺丰成品在途仓,6968,产成品,逻辑仓,TCBJ-C仓,有效,合格,华南顺丰-电商,广东佰悦网络科技有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:23,2025-09-26 15:02:09,,,,,
6967,佰悦电商华中顺丰在途仓,6967,产成品,逻辑仓,TCBJ-C仓,有效,合格,华中顺丰-电商,广东佰悦网络科技有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:23,2025-09-26 15:02:09,,,,,
