周次,开始时间,结束时间,SKU编码,SKU名称,预计发货物理仓,预计发货仓是成都仓的销售量,需求预测,预测误差绝对值,预测误差,预测误差标准差（σ_PP）
2025-W08,2025/2/17,2025/2/23,A.A.006.AA0060003,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）,成都仓,675,3045,2370,2370,
2025-W09,2025/2/24,2025/3/2,A.A.006.AA0060003,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）,成都仓,2375,2707.14,332.14,332.14,
2025-W10,2025/3/3,2025/3/9,A.A.006.AA0060003,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）,成都仓,2525,2665.62,140.62,140.62,
2025-W11,2025/3/10,2025/3/16,A.A.006.AA0060003,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）,成都仓,7450,2400,5050,-5050,
2025-W12,2025/3/17,2025/3/23,A.A.006.AA0060003,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）,成都仓,6575,1868.75,4706.25,-4706.25,
2025-W13,2025/3/24,2025/3/30,A.A.006.AA0060003,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）,成都仓,2500,2684.38,184.38,184.38,
2025-W14,2025/3/31,2025/4/6,A.A.006.AA0060003,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）,成都仓,4225,2996.88,1228.12,-1228.12,
2025-W15,2025/4/7,2025/4/13,A.A.006.AA0060003,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）,成都仓,20925,3431.25,17493.75,-17493.75,
2025-W16,2025/4/14,2025/4/20,A.A.006.AA0060003,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）,成都仓,2950,5906.25,2956.25,2956.25,
2025-W17,2025/4/21,2025/4/27,A.A.006.AA0060003,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）,成都仓,4275,6190.62,1915.62,1915.62,
2025-W18,2025/4/28,2025/5/4,A.A.006.AA0060003,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）,成都仓,3850,6428,2578,2578,6123
2025-W19,2025/5/5,2025/5/11,A.A.006.AA0060003,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）,成都仓,6525,6593,68,68,6324
2025-W20,2025/5/12,2025/5/18,A.A.006.AA0060003,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）,成都仓,3050,6478,3428,3428,6303
2025-W21,2025/5/19,2025/5/25,A.A.006.AA0060003,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）,成都仓,10150,6037,4113,-4113,6434
2025-W22,2025/5/26,2025/6/1,A.A.006.AA0060003,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（180片）,成都仓,3200,6993,3793,3793,6496
