用例ID,优先级,模块,子场景,业务描述,输入,校验点
INT-001,P1,意图识别,调拨计划,"用户让系统""生成7月成都仓A001的调拨计划""，需正确识别业务意图与关键参数",文本：`请帮我生成7月成都仓 A001 的调拨计划`,"1) [MUST] 识别意图=调拨计划
2) [MUST] 抽取仓=成都仓
3) [MUST] 抽取SKU=A001
4) [MUST] 时间窗解析=2025-07-01~2025-07-31"
INT-002,P1,意图识别,调拨计划,生成月度调拨计划的标准解析,`生成 7 月 成都仓 的调拨计划`,"[MUST] 意图=生成调拨计划
[MUST] 仓=成都仓
[MUST] 时间窗=2025-07
[SHOULD] 粒度=SKU×仓
[SHOULD] 版本=日更/周重算（若系统有默认）"
INT-003,P1,意图识别,调拨计划,多仓 + 取整偏好（整托优先）解析,`给 北京/成都 两仓做下周调拨，整托优先`,"[MUST] 意图=生成调拨计划
[MUST] 仓集合={北京, 成都}
[MUST] 时间窗=下周
[SHOULD] 取整偏好=整托优先
[SHOULD] 其他未指定参数走默认"
INT-004,P1,意图识别,调拨计划,"周一发起：默认生成""本周""的调拨计划",帮我生成本周的调拨计划,"[MUST] 意图=生成调拨计划
[MUST] 时间窗=本周（自然周 周一~周日）
[SHOULD] 粒度=SKU×仓
[SHOULD] 版本=周基准版（weekly_baseline）"
INT-005,P1,意图识别,调拨计划,"每日巡检：只看""今天""的计划",今天的调拨计划是什么？,"[MUST] 意图=生成调拨计划
[MUST] 时间窗=今天（today）
[SHOULD] 版本=日更版（daily_refresh）"
INT-006,P1,意图识别,调拨计划,先看下周的到货安排,生成下周的调拨计划,"[MUST] 意图=生成调拨计划
[MUST] 时间窗=下周（next_week）"
INT-007,P2,意图识别,调拨计划,跨月自然周口径校验,生成 7月第一周 的调拨计划,"[MUST] 意图=生成调拨计划
[MUST] 时间窗=月内周（2025-07-W1）
[SHOULD] 跨月标记=是（如该周跨月）"
INT-008,P1,意图识别,调拨计划,未显式说明时使用系统默认止拨策略,生成本周北京仓的调拨计划,"[MUST] 意图=生成调拨计划
[MUST] 仓=北京仓
[MUST] 止拨策略=应用（默认）"
INT-009,P1,意图识别,调拨计划,放开止拨/越权,放开止拨，生成本周北京仓调拨计划,"[MUST] 意图=生成调拨计划
[MUST] 仓=北京仓
[MUST] 止拨策略=越权（override）"
INT-010,P1,意图识别,调拨计划,强化止拨口径,严格执行止拨阈值，生成本周北京仓计划,"[MUST] 意图=生成调拨计划
[MUST] 仓=北京仓
[MUST] 止拨策略=严格（strict）"
INT-011,P1,意图识别,调拨计划,多仓 + 时间窗解析,给 北京/成都 两仓做下周调拨,"[MUST] 意图=生成调拨计划
[MUST] 仓集合={北京仓, 成都仓}
[MUST] 时间窗=下周（next_week）"
INT-012,P1,意图识别,调拨计划,在途计入/不计入口径解析,生成本周计划，不要把在途算进去,"[MUST] 意图=生成调拨计划
[MUST] 时间窗=本周（this_week）
[MUST] 包含在途=否（false）"
INT-013,P2,意图识别,调拨计划,单批次最多去向数,最多拆到两个去向,"[MUST] 意图=生成调拨计划
[MUST] K限制=2（单批次最多去向数）"
INT-014,P3,意图识别,调拨计划,去向的最小拆分箱数,每个去向至少 3 箱,"[MUST] 意图=生成调拨计划
[MUST] 最小拆分量=3箱"
INT-015,P1,意图识别,调拨计划,仅指定 SKU 的计划,只做 A001 和 A002 本周的调拨计划,"[MUST] 意图=生成调拨计划
[MUST] SKU集合={A001, A002}
[MUST] 时间窗=本周（this_week）"
INT-016,P1,意图识别,调拨计划,周基准版/日更版选择,用周基准版生成本周计划,"[MUST] 意图=生成调拨计划
[MUST] 版本=周基准版（weekly_baseline）"
INT-017,P1,意图识别,预测对比报告,"识别""预测对比""，抽取算法集合、时间窗与评价指标",`做 A001@北京仓 近三个月 MA/ETS/Croston 的预测对比，给 WMAPE`,"[MUST] 意图=预测对比报告
[MUST] SKU=A001
[MUST] 仓=北京仓
[MUST] 时间窗=近3个月
[MUST] 算法集合={MA, ETS, Croston}
[MUST] 指标=WMAPE"
INT-018,P2,意图识别,预测对比报告,季度维度 + 仓汇总展示诉求,`出 2024Q4 的预测对比报告，按仓汇总展示`,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2024Q4
[MUST] 汇总维度=物理仓
[SHOULD] 默认算法集合=平台默认
[SHOULD] 指标=WMAPE/MASE（如未指明给默认集）"
INT-019,P1,意图识别,预测对比报告,标准句，明确月份/仓/算法与周粒度,生成 **2025年7月 成都仓** 的预测算法对比报告（**MA/ETS/Croston**，**按周**）,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=成都仓
[MUST] 粒度=周（week）
[MUST] 算法集合={MA, ETS, Croston}"
INT-020,P2,意图识别,预测对比报告,同义表达+多仓,出一份 **7月 珠海仓+北京仓** 的预测对比，看 **MA 和 ETS** 谁更准（按周）,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓集合={珠海仓, 北京仓}
[MUST] 粒度=周（week）
[MUST] 算法集合={MA, ETS}"
INT-021,P1,意图识别,预测对比报告,缺失粒度→默认周；指定指标,生成 **2025-07 成都仓 A002** 的算法对比，**按 wMAPE 排序**,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=成都仓
[MUST] SKU=A002
[MUST] 粒度=周（week，默认）
[MUST] 评价指标=wMAPE
[SHOULD] 算法集合=平台默认"
INT-022,P3,意图识别,预测对比报告,仓别名/纠错,给 **帝都仓** 做 **7月** 预测对比，包含 **Croston**,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=北京仓（别名""帝都仓""映射）
[MUST] 粒度=周（week）
[MUST] 算法集合包含=Croston
[SHOULD] 支持别名映射"
INT-023,P2,意图识别,预测对比报告,跨月周偏好说明,生成 **7月 成都仓** 的算法对比，**跨月周并入7月**,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=成都仓
[MUST] 粒度=周（week）
[MUST] 跨月周策略=并入起始月
[SHOULD] 算法集合=平台默认"
INT-024,P3,意图识别,预测对比报告,滤条件+窗口参数,对 **7月 珠海仓 A001/A002** 做 **MA/ETS** 对比，**窗口=8周**,"[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=珠海仓
[MUST] SKU集合={A001, A002}
[MUST] 粒度=周（week）
[MUST] 算法集合={MA, ETS}
[MUST] 窗口参数=8周"
INT-025,P1,意图识别,活动调整预测,抽取活动窗口、对象与 uplift（百分比）,`7/10-7/20 成都仓 A001 陈列促销，预计 +30%，调整预测`,"[MUST] 意图=活动调整预测
[MUST] 活动窗=07-10~07-20
[MUST] SKU=A001
[MUST] 仓=成都仓
[MUST] 调整方式=+30%（相对提升）
[SHOULD] 作用粒度=日/周（平台既定）"
INT-026,P2,意图识别,活动调整预测,"抽取""绝对加量/日""的活动设定，全仓范围",`A002 全渠道 7月12-14 日直播，每日 +400，调上去`,"[MUST] 意图=活动调整预测
[MUST] 活动窗=07-12~07-14
[MUST] SKU=A002
[MUST] 仓=全部仓（全渠道）
[MUST] 调整方式=+400/日（绝对增量）
[SHOULD] 冲突处理=与既有活动合并策略"
INT-027,P1,意图识别,活动调整预测,标准活动上调（百分比+时间+范围）,**7/10–7/12** 成都仓 **A002** 预测 **上调20%**,"[MUST] 意图=活动调整预测
[MUST] 活动窗口=2025-07-10~2025-07-12
[MUST] 仓=成都仓
[MUST] SKU=A002
[MUST] 调整方式=+20%（相对提升）
[SHOULD] 应用模式=覆盖窗口"
INT-028,P2,意图识别,活动调整预测,多仓同调,**7月第二周** **北京/珠海** 全部SKU **+15%**,"[MUST] 意图=活动调整预测
[MUST] 活动窗口=2025-07-W2（第二周）
[MUST] 仓集合={北京仓, 珠海仓}
[MUST] SKU=全部SKU
[MUST] 调整方式=+15%（相对提升）"
INT-029,P2,意图识别,活动调整预测,下调与上限,**7/20** 昆山仓 **A003** **下调10%**，**最大不低于P10**,"[MUST] 意图=活动调整预测
[MUST] 活动窗口=2025-07-20
[MUST] 仓=昆山仓
[MUST] SKU=A003
[MUST] 调整方式=-10%（相对下调）
[MUST] 下限约束=P10（不低于第10百分位）"
INT-030,P3,意图识别,活动调整预测,取消已设活动（撤销）,撤销 **7/10–7/12 成都仓 A002 上调20%** 的活动调整,"[MUST] 意图=活动调整预测
[MUST] 操作类型=撤销（revert）
[MUST] 原活动窗口=2025-07-10~2025-07-12
[MUST] 原仓=成都仓
[MUST] 原SKU=A002
[MUST] 原调整值=+20%"
INT-031,P2,意图识别,活动调整预测,活动叠加与优先级,**7/15–7/16** 北京仓 **A001** **店庆+10%**，若与 **大促+20%** 重叠，**取较高**,"[MUST] 意图=活动调整预测
[MUST] 活动窗口=2025-07-15~2025-07-16
[MUST] 仓=北京仓
[MUST] SKU=A001
[MUST] 活动标签={店庆, 大促}
[MUST] 冲突策略=取较高值（max）"
