用例ID,模块,子场景,业务描述,输入,输入JSON,tools工具,输出JSON,展示JSON,展示字段/指标,校验点,,,,,,,,,,
INT-004,意图识别,调拨计划意图识别,周一发起、标准输入,帮我生成本周的调拨计划,,,"解析结果JSON: {""intent"": ""调拨计划"", ""time_window"": ""this_week"", ""version"": ""weekly_baseline""}",,,"[MUST] 意图=生成调拨计划
[MUST] 时间窗=本周（自然周 周一~周日）
[SHOULD] 粒度=SKU×仓
[SHOULD] 版本=周基准版（weekly_baseline）",,,,,,,,,,
INT-005,意图识别,调拨计划意图识别,每日巡检，标准输入,今天的调拨计划是什么？,,,"解析结果JSON: {""intent"": ""调拨计划"", ""time_window"": ""today"", ""version"": ""daily_refresh""}",,,"[MUST] 意图=生成调拨计划
[MUST] 时间窗=今天（today）
[SHOULD] 版本=日更版（daily_refresh）",,,,,,,,,,
INT-001,意图识别,调拨计划意图识别,单仓+单SKU,请帮我生成本周成都仓 A001 的调拨计划,,,"解析结果JSON: {""intent"": ""调拨计划"", ""warehouse"": ""成都仓"", ""sku"": ""A001"", ""time_window"": ""本周"", ""granularity"": ""SKU×仓""}",,,"1) [MUST] 识别意图=调拨计划
2) [MUST] 抽取仓=成都仓
3) [MUST] 抽取SKU=A001
4) [MUST] 时间窗解析=2025-07-01~2025-07-31",,,,,,,,,,
INT-015,意图识别,调拨计划意图识别,多SKU,只做 A001 和 A002 本周的调拨计划,,,"解析结果JSON: {""intent"": ""调拨计划"", ""sku_list"": [""A001"", ""A002""], ""time_window"": ""this_week""}",,,"[MUST] 意图=生成调拨计划
[MUST] SKU集合={A001, A002}
[MUST] 时间窗=本周（this_week）",,,,,,,,,,
INT-008,意图识别,调拨计划意图识别,单仓,生成本周北京仓的调拨计划,,,"解析结果JSON: {""intent"": ""调拨计划"", ""warehouse"": ""北京仓"", ""stop_allocation_policy"": ""apply""}",,,"[MUST] 意图=生成调拨计划
[MUST] 仓=北京仓
[MUST] 止拨策略=应用（默认）",,,,,,,,,,
INT-011,意图识别,调拨计划意图识别,多仓,给 北京/成都 两仓做本周调拨,,,"解析结果JSON: {""intent"": ""调拨计划"", ""warehouse_list"": [""北京仓"", ""成都仓""], ""time_window"": ""本周""}",,,"[MUST] 意图=生成调拨计划
[MUST] 仓集合={北京仓, 成都仓}
[MUST] 时间窗=下周（next_week）",,,,,,,,,,
INT-009,意图识别,调拨计划意图识别,单仓+止拨,放开止拨，生成本周北京仓调拨计划,,,"解析结果JSON: {""intent"": ""调拨计划"", ""warehouse"": ""北京仓"", ""stop_allocation_policy"": ""override""}",,,"[MUST] 意图=生成调拨计划
[MUST] 仓=北京仓
[MUST] 止拨策略=越权（override）",,,,,,,,,,
INT-012,意图识别,调拨计划意图识别,标准输入+不含在途,生成本周计划，不要把在途算进去,,,"解析结果JSON: {""intent"": ""调拨计划"", ""time_window"": ""this_week"", ""include_in_transit"": false}",,,"[MUST] 意图=生成调拨计划
[MUST] 时间窗=本周（this_week）
[MUST] 包含在途=否（false）",,,,,,,,,,
INT-013,意图识别,调拨计划意图识别,单批次最多去向数,生成本周调拨计划，每个批次最多拆到两个去向,,,"解析结果JSON: {""intent"": ""调拨计划"", ""max_destinations_per_batch"": 2}",,,"[MUST] 意图=生成调拨计划
[MUST] K限制=2（单批次最多去向数）",,,,,,,,,,
INT-014,意图识别,调拨计划意图识别,去向的最小拆分箱数,生成本周调拨计划，每个批次拆批时，至少3箱,,,"解析结果JSON: {""intent"": ""调拨计划"", ""min_split_cases"": 3}",,,"[MUST] 意图=生成调拨计划
[MUST] 最小拆分量=3箱",,,,,,,,,,
